id;scene;timestamp;x;y;z;rx;ry;rz
2;6;1773010212538;0.22;0;-13;0;0;0
2;6;1773010212731;0.2691338;1.062648;-13.30869;355.6329;358.6899;355.0126
2;6;1773010212790;0.2690432;1.062694;-13.30879;355.6191;358.7024;355.0159
2;6;1773010212847;0.2690923;1.062682;-13.30879;355.6033;358.6748;355.0346
2;6;1773010212901;0.2691258;1.062592;-13.30866;355.6273;358.6666;354.9979
2;6;1773010212959;0.2690766;1.062579;-13.3086;355.6468;358.6829;355.022
2;6;1773010213014;0.2690399;1.062588;-13.30853;355.65;358.6918;355.0564
2;6;1773010213070;0.268958;1.062603;-13.3084;355.6571;358.6898;355.0371
2;6;1773010213125;0.2688453;1.062501;-13.30847;355.7123;358.6399;355.0485
2;6;1773010213182;0.2687706;1.062665;-13.30852;355.6534;358.6199;355.0469
2;6;1773010213237;0.2687333;1.062647;-13.30854;355.6338;358.6271;355.0537
2;6;1773010213292;0.2687835;1.062591;-13.30861;355.6746;358.6592;355.0593
2;6;1773010213348;0.2687879;1.062624;-13.30857;355.6126;358.6829;355.0809
2;6;1773010213404;0.2687989;1.062587;-13.30849;355.6593;358.6477;355.0556
2;6;1773010213460;0.2687304;1.062525;-13.30838;355.6891;358.6566;355.0705
2;6;1773010213515;0.2686952;1.062497;-13.30835;355.6777;358.6524;355.0653
2;6;1773010213571;0.2687876;1.062597;-13.30838;355.6516;358.6366;355.073
2;6;1773010213626;0.2687535;1.062698;-13.30844;355.6284;358.6352;355.0723
2;6;1773010213781;0.2686554;1.062756;-13.30859;355.6017;358.6226;355.0833
2;6;1773010213834;0.2687156;1.062783;-13.30861;355.5895;358.6349;355.0604
2;6;1773010213890;0.2687196;1.062818;-13.30858;355.5706;358.632;355.084
2;6;1773010213946;0.2687241;1.062773;-13.30858;355.6215;358.6199;355.0641
2;6;1773010214002;0.2687584;1.062776;-13.30863;355.5887;358.6255;355.0597
2;6;1773010214057;0.2686757;1.062869;-13.30861;355.5664;358.609;355.0817
2;6;1773010214112;0.2686574;1.062839;-13.30881;355.5648;358.6122;355.0735
2;6;1773010214168;0.2686421;1.062812;-13.30867;355.5586;358.6133;355.0912
2;6;1773010214224;0.2686242;1.062753;-13.30861;355.5849;358.605;355.0768
2;6;1773010214280;0.2685681;1.062677;-13.30859;355.6151;358.6059;355.0984
2;6;1773010214334;0.268445;1.062644;-13.30862;355.6425;358.6001;355.1062
2;6;1773010214390;0.268467;1.062664;-13.30864;355.6364;358.5881;355.1075
2;6;1773010214447;0.2684211;1.062661;-13.30869;355.62;358.5822;355.1163
2;6;1773010214502;0.2684418;1.06264;-13.30884;355.5817;358.5727;355.118
2;6;1773010214558;0.2685121;1.062698;-13.30887;355.5738;358.5754;355.1068
2;6;1773010214613;0.2685677;1.062713;-13.30889;355.5299;358.6103;355.0893
2;6;1773010214668;0.2685681;1.062671;-13.30904;355.5481;358.6164;355.1006
2;6;1773010214780;0.26858;1.062718;-13.309;355.5505;358.6204;355.0762
2;6;1773010214835;0.2685885;1.062683;-13.30903;355.5785;358.6343;355.0461
2;6;1773010214892;0.2685369;1.062638;-13.30904;355.5686;358.5785;355.0769
2;6;1773010214947;0.2685049;1.062732;-13.30905;355.5343;358.5734;355.0662
2;6;1773010215001;0.2685356;1.062788;-13.30912;355.5299;358.5734;355.0583
2;6;1773010215058;0.2685683;1.062753;-13.30915;355.53;358.6218;355.0671
2;6;1773010215114;0.2685709;1.062799;-13.30914;355.499;358.6347;355.0464
2;6;1773010215168;0.268531;1.062775;-13.30914;355.5227;358.6279;355.0564
2;6;1773010215225;0.2684459;1.062766;-13.30921;355.5261;358.6263;355.0534
2;6;1773010215279;0.2683715;1.062769;-13.30929;355.5196;358.609;355.051
2;6;1773010215335;0.2683647;1.062785;-13.30931;355.5061;358.6162;355.0387
2;6;1773010215391;0.2682767;1.062844;-13.30939;355.4823;358.6332;355.07
2;6;1773010215446;0.2682862;1.062894;-13.3095;355.4768;358.6152;355.0703
2;6;1773010215503;0.2683302;1.062936;-13.30961;355.4336;358.5948;355.0663
2;6;1773010215557;0.2683871;1.06296;-13.30959;355.4188;358.5994;355.0603
2;6;1773010215614;0.2684933;1.063057;-13.30955;355.3988;358.664;355.0073
2;6;1773010215668;0.2686189;1.063058;-13.30954;355.3976;358.6876;354.9839
2;6;1773010215782;0.268673;1.063051;-13.30955;355.424;358.6708;355.011
2;6;1773010215835;0.2686886;1.063184;-13.30956;355.3676;358.6411;355.0071
2;6;1773010215892;0.2687393;1.063166;-13.30963;355.3544;358.6689;355.0024
2;6;1773010215947;0.2687599;1.063183;-13.30961;355.3116;358.7184;355.0389
2;6;1773010216002;0.2687316;1.063158;-13.30955;355.3438;358.7411;355.0063
2;6;1773010216058;0.2686673;1.063052;-13.30956;355.3602;358.7143;355.025
2;6;1773010216114;0.2686114;1.063096;-13.30948;355.3683;358.7052;355.0129
2;6;1773010216169;0.2686468;1.063094;-13.30945;355.3536;358.7007;355.0259
2;6;1773010216224;0.2686259;1.063125;-13.30947;355.3241;358.7073;355.0334
2;6;1773010216280;0.2685535;1.063278;-13.30945;355.1666;358.6957;355.0377
2;6;1773010216335;0.2684058;1.064018;-13.30942;354.7126;358.5124;354.9734
2;6;1773010216391;0.2682797;1.064234;-13.30979;354.6159;358.4266;354.9872
2;6;1773010216447;0.268407;1.064186;-13.31026;354.6713;358.4984;355.0243
2;6;1773010216503;0.2685867;1.064283;-13.31039;354.6107;358.6502;354.9832
2;6;1773010216557;0.2687406;1.064242;-13.31054;354.629;358.7165;354.9969
2;6;1773010216614;0.2687651;1.064197;-13.31053;354.5928;358.7069;354.9976
2;6;1773010216670;0.2687224;1.064214;-13.31043;354.6307;358.5927;355.0029
2;6;1773010216782;0.2685321;1.064132;-13.31046;354.6608;358.5575;355.0233
2;6;1773010216836;0.2685536;1.063872;-13.31012;354.7637;358.5922;355.0225
2;6;1773010216892;0.2685885;1.063706;-13.31015;354.8115;358.6205;355.0566
2;6;1773010216947;0.2684592;1.063661;-13.31026;354.82;358.5958;355.0454
2;6;1773010217003;0.2682837;1.063682;-13.31034;354.7828;358.5439;355.0637
2;6;1773010217058;0.2681514;1.063732;-13.31048;354.7458;358.5338;355.0746
2;6;1773010217114;0.2680872;1.063761;-13.31052;354.7245;358.5413;355.0818
2;6;1773010217168;0.2680945;1.063857;-13.31062;354.7078;358.5657;355.1067
2;6;1773010217225;0.2681462;1.063845;-13.31066;354.7144;358.5456;355.1061
2;6;1773010217281;0.2682627;1.063863;-13.31067;354.7385;358.5724;355.0604
2;6;1773010217336;0.2684774;1.063843;-13.31058;354.762;358.5822;355.0265
2;6;1773010217391;0.2685433;1.063733;-13.31062;354.8431;358.6028;355.0387
2;6;1773010217447;0.2685789;1.063746;-13.31048;354.8054;358.5924;355.0055
2;6;1773010217503;0.2686713;1.063768;-13.31045;354.7853;358.5774;355.0101
2;6;1773010217558;0.2686739;1.063693;-13.31047;354.8525;358.6021;355.0023
2;6;1773010217614;0.2686614;1.063713;-13.31039;354.83;358.6261;355.0316
2;6;1773010217670;0.2685763;1.063696;-13.31032;354.8789;358.6153;354.9834
2;6;1773010217796;0.2683037;1.063624;-13.31028;354.8929;358.5967;355.0181
2;6;1773010217850;0.2681161;1.063573;-13.31038;354.9173;358.5622;355.0284
2;6;1773010217905;0.2681389;1.063655;-13.31044;354.9155;358.5514;355.0312
2;6;1773010217962;0.2680078;1.063657;-13.31051;354.8958;358.5379;355.0529
2;6;1773010218018;0.2679445;1.063676;-13.31058;354.8801;358.4984;355.0296
2;6;1773010218072;0.2680064;1.063668;-13.31055;354.8858;358.4965;355.0223
2;6;1773010218129;0.2681178;1.063748;-13.31058;354.8628;358.5429;354.9683
2;6;1773010218184;0.2681935;1.063798;-13.31054;354.8107;358.5485;354.9912
2;6;1773010218239;0.2682352;1.063811;-13.31061;354.8772;358.5473;354.9869
2;6;1773010218294;0.2681531;1.063833;-13.31068;354.8369;358.502;354.9906
2;6;1773010218351;0.2681792;1.063925;-13.31068;354.8131;358.4466;354.9765
2;6;1773010218407;0.2682821;1.063885;-13.31067;354.8286;358.4896;354.9805
2;6;1773010218462;0.2684184;1.063881;-13.31059;354.8081;358.535;355.0349
2;6;1773010218517;0.2683037;1.063868;-13.31052;354.8299;358.5503;354.9476
2;6;1773010218572;0.2682847;1.063898;-13.31041;354.8463;358.5336;354.9835
2;6;1773010218628;0.2682216;1.063872;-13.31041;354.8568;358.5312;354.9598
2;6;1773010218684;0.2682236;1.063884;-13.31042;354.853;358.5184;354.9778
2;6;1773010218797;0.2682217;1.063899;-13.31039;354.832;358.5373;354.9868
2;6;1773010218850;0.2681414;1.063917;-13.31047;354.8193;358.5768;355.0131
2;6;1773010218906;0.2682258;1.063845;-13.31041;354.8423;358.6076;355.0291
2;6;1773010218961;0.2682666;1.063891;-13.31032;354.8404;358.653;355.0055
2;6;1773010219017;0.2684891;1.063848;-13.31015;354.8627;358.7371;354.9467
2;6;1773010219072;0.2688074;1.063645;-13.31004;354.9679;358.8429;354.9214
2;6;1773010219127;0.2693421;1.063542;-13.30992;354.9875;359.1239;354.8412
2;6;1773010219184;0.2700976;1.063391;-13.3097;355.0287;359.4268;354.7643
2;6;1773010219238;0.2710643;1.063084;-13.30961;355.2184;359.9308;354.6771
2;6;1773010219294;0.2726191;1.062756;-13.30948;355.3095;0.7424997;354.6969
2;6;1773010219349;0.2741147;1.062433;-13.30945;355.4268;1.604638;354.6482
2;6;1773010219405;0.2755031;1.062174;-13.30943;355.5875;2.481067;354.5933
2;6;1773010219461;0.2767619;1.061919;-13.30962;355.6793;3.282284;354.5192
2;6;1773010219518;0.2779316;1.061783;-13.3098;355.732;3.972146;354.4703
2;6;1773010219573;0.2788114;1.061701;-13.30989;355.7367;4.351505;354.3952
2;6;1773010219627;0.2790531;1.061617;-13.31014;355.8174;4.230384;354.2991
2;6;1773010219684;0.2788408;1.061776;-13.31014;355.7457;3.904695;354.1621
2;6;1773010219811;0.2788467;1.061992;-13.31018;355.7027;3.940788;354.1945
2;6;1773010219864;0.2795302;1.062054;-13.31034;355.6825;4.198554;354.09
2;6;1773010219920;0.2793712;1.062148;-13.31042;355.6999;4.213683;354.1136
2;6;1773010219975;0.2791881;1.062254;-13.31037;355.6515;4.150905;354.1233
2;6;1773010220030;0.2789826;1.062415;-13.31032;355.6068;4.080532;354.153
2;6;1773010220087;0.2787914;1.062431;-13.31025;355.6368;4.040131;354.1713
2;6;1773010220141;0.2787439;1.062491;-13.31011;355.6094;4.051303;354.1897
2;6;1773010220197;0.27862;1.0625;-13.31007;355.6545;4.03767;354.1942
2;6;1773010220252;0.2785816;1.06243;-13.31004;355.6877;3.981618;354.1992
2;6;1773010220309;0.2784394;1.062417;-13.31007;355.6757;3.947603;354.1897
2;6;1773010220364;0.2784736;1.062435;-13.31004;355.6398;3.942639;354.2052
2;6;1773010220419;0.2784359;1.062465;-13.31014;355.6065;3.940108;354.2174
2;6;1773010220475;0.2783472;1.062526;-13.31023;355.583;3.877363;354.2178
2;6;1773010220531;0.2782479;1.062554;-13.31027;355.5659;3.808457;354.2044
2;6;1773010220585;0.278174;1.062508;-13.31024;355.58;3.744057;354.2331
2;6;1773010220641;0.2781503;1.06249;-13.31024;355.583;3.662195;354.2054
2;6;1773010220697;0.2780078;1.062506;-13.31022;355.5682;3.632392;354.2229
2;6;1773010220824;0.27783;1.062536;-13.3101;355.5617;3.595026;354.2334
2;6;1773010220878;0.2776939;1.062615;-13.31013;355.5171;3.483775;354.2383
2;6;1773010220934;0.2775886;1.062708;-13.31009;355.4878;3.437417;354.2428
2;6;1773010220989;0.2775882;1.062666;-13.31015;355.4996;3.425274;354.2627
2;6;1773010221044;0.2773503;1.06271;-13.31001;355.4571;3.390954;354.2494
2;6;1773010221100;0.2771747;1.062607;-13.31006;355.5164;3.327861;354.2852
2;6;1773010221156;0.2770579;1.062533;-13.31001;355.5302;3.289054;354.2912
2;6;1773010221211;0.2769102;1.062529;-13.30997;355.5231;3.228793;354.2757
2;6;1773010221267;0.2766235;1.062564;-13.30998;355.5308;3.099925;354.3185
2;6;1773010221322;0.2763355;1.06265;-13.31004;355.4932;2.970225;354.3289
2;6;1773010221378;0.2761025;1.06269;-13.31005;355.4366;2.857523;354.3537
2;6;1773010221434;0.2759485;1.062769;-13.3101;355.4147;2.720455;354.388
2;6;1773010221489;0.2758234;1.062763;-13.31006;355.4019;2.634357;354.3743
2;6;1773010221543;0.2758075;1.062786;-13.30996;355.3722;2.594492;354.429
2;6;1773010221600;0.2757816;1.062806;-13.30992;355.4017;2.597499;354.4072
2;6;1773010221656;0.2756511;1.062715;-13.30986;355.432;2.570653;354.4667
2;6;1773010221711;0.2755346;1.062869;-13.31002;355.3914;2.52463;354.4667
2;6;1773010221824;0.2753415;1.062987;-13.31017;355.3579;2.474813;354.4753
2;6;1773010221877;0.2751572;1.063109;-13.31022;355.2621;2.323994;354.4959
2;6;1773010221934;0.2749818;1.063167;-13.31021;355.277;2.254792;354.509
2;6;1773010221988;0.2747811;1.063064;-13.31025;355.2878;2.207811;354.5234
2;6;1773010222043;0.2746412;1.063088;-13.31014;355.2779;2.179849;354.5266
2;6;1773010222100;0.2745899;1.063002;-13.31014;355.3118;2.173421;354.5307
2;6;1773010222156;0.2745032;1.063042;-13.31012;355.2927;2.155483;354.5392
2;6;1773010222211;0.2744146;1.063058;-13.3101;355.2839;2.129965;354.5565
2;6;1773010222267;0.274347;1.063132;-13.31011;355.2899;2.105944;354.5995
2;6;1773010222323;0.2742048;1.063099;-13.31022;355.2866;2.079262;354.6259
2;6;1773010222378;0.274084;1.063131;-13.31026;355.2604;2.085399;354.6104
2;6;1773010222434;0.2739626;1.063269;-13.31019;355.2335;2.064535;354.6375
2;6;1773010222490;0.273897;1.063223;-13.31024;355.2854;2.045418;354.6593
2;6;1773010222544;0.2738675;1.063258;-13.31024;355.2706;2.035163;354.6585
2;6;1773010222600;0.2738692;1.063354;-13.31023;355.2357;2.021733;354.6687
2;6;1773010222656;0.2738169;1.063367;-13.31026;355.2644;2.014643;354.6796
2;6;1773010222712;0.2737995;1.063324;-13.31014;355.2346;2.004443;354.6877
2;6;1773010222824;0.2737171;1.06325;-13.31013;355.2634;2.00291;354.6751
2;6;1773010222878;0.2736087;1.063187;-13.31006;355.2896;1.986151;354.6738
2;6;1773010222934;0.2735655;1.063208;-13.31008;355.2822;1.991942;354.6891
2;6;1773010222989;0.2734842;1.063268;-13.31013;355.2555;2.003033;354.696
2;6;1773010223044;0.2733817;1.063341;-13.31022;355.2266;1.982487;354.7074
2;6;1773010223100;0.273246;1.063338;-13.31022;355.2196;1.903754;354.6925
2;6;1773010223155;0.2730758;1.06331;-13.31019;355.2267;1.886999;354.692
2;6;1773010223211;0.2729833;1.063289;-13.31013;355.2347;1.872981;354.7582
2;6;1773010223267;0.2730326;1.063181;-13.31013;355.2509;1.808268;354.7669
2;6;1773010223322;0.2727322;1.063275;-13.31011;355.2663;1.599812;354.6887
2;6;1773010223378;0.2721387;1.063089;-13.31015;355.3086;1.016869;354.6453
2;6;1773010223434;0.2712714;1.063165;-13.31003;355.202;0.4797163;354.6907
2;6;1773010223489;0.2703669;1.063198;-13.30998;355.2201;359.9034;354.6986
2;6;1773010223547;0.2693811;1.063004;-13.31009;355.2377;359.3382;354.7836
2;6;1773010223600;0.2684646;1.06317;-13.31003;355.1515;358.7529;354.8625
2;6;1773010223655;0.2672412;1.06306;-13.30995;355.1785;358.0351;354.9188
2;6;1773010223711;0.2662847;1.062928;-13.31003;355.2282;357.4691;354.9409
2;6;1773010223838;0.2656353;1.062969;-13.31014;355.1759;357.1857;354.9236
2;6;1773010223892;0.2637275;1.063144;-13.31048;355.0522;356.1772;355.039
2;6;1773010223947;0.2634715;1.063231;-13.31063;355.0042;356.0633;355.0946
2;6;1773010224002;0.2635347;1.063321;-13.31066;354.9807;356.1375;355.0985
2;6;1773010224059;0.2636988;1.063369;-13.31066;354.9622;356.1922;355.0821
2;6;1773010224114;0.2638308;1.063549;-13.3107;354.9341;356.2878;355.0262
2;6;1773010224169;0.2638936;1.063561;-13.31065;354.9763;356.395;354.9727
2;6;1773010224225;0.2639247;1.06348;-13.31071;355.0032;356.3801;355.0877
2;6;1773010224281;0.2638204;1.063485;-13.31067;354.9823;356.285;355.0644
2;6;1773010224336;0.2638089;1.063517;-13.31062;354.9886;356.1994;355.0445
2;6;1773010224392;0.2639616;1.063514;-13.31055;355.0037;356.2423;355.0142
2;6;1773010224447;0.264035;1.06357;-13.31041;354.9849;356.2888;355.0309
2;6;1773010224504;0.2640483;1.063583;-13.31026;355.058;356.338;355.0414
2;6;1773010224558;0.2638646;1.063383;-13.31025;355.1048;356.3309;355.0641
2;6;1773010224614;0.263625;1.063396;-13.31026;355.0803;356.2916;355.0482
2;6;1773010224672;0.2635107;1.063451;-13.31034;355.0285;356.2462;355.1113
2;6;1773010224725;0.263474;1.063514;-13.31035;354.9895;356.2049;355.1215
2;6;1773010224838;0.2635219;1.063567;-13.31045;354.9679;356.1939;355.1054
2;6;1773010224892;0.2635869;1.063777;-13.31065;354.868;356.2364;355.0922
2;6;1773010224948;0.2636766;1.063865;-13.31057;354.8223;356.2247;355.1328
2;6;1773010225003;0.2636726;1.063826;-13.31053;354.8853;356.1863;355.0627
2;6;1773010225059;0.2637415;1.063775;-13.31056;354.8805;356.155;355.1019
2;6;1773010225115;0.2637108;1.063876;-13.31046;354.8444;356.139;355.1042
2;6;1773010225170;0.2637186;1.063822;-13.31044;354.8768;356.1776;355.0931
2;6;1773010225226;0.2636951;1.063802;-13.31032;354.8844;356.2162;355.1261
2;6;1773010225280;0.2635899;1.063826;-13.3102;354.892;356.2302;355.0774
2;6;1773010225336;0.2638319;1.063921;-13.31022;354.92;356.3175;355.1419
2;6;1773010225392;0.2643806;1.063873;-13.31006;354.8895;356.6966;355.2103
2;6;1773010225448;0.2645085;1.063847;-13.31013;354.8802;356.8087;355.1572
2;6;1773010225502;0.2646693;1.063896;-13.31029;354.7796;356.8625;355.1356
2;6;1773010225559;0.2650883;1.063999;-13.31033;354.7421;357.0416;355.225
2;6;1773010225615;0.2655549;1.064083;-13.31033;354.6887;357.2728;355.2096
2;6;1773010225671;0.2657011;1.064117;-13.31055;354.7032;357.3777;355.1617
2;6;1773010225726;0.2657683;1.064076;-13.31076;354.7096;357.3305;355.0669
2;6;1773010225839;0.2655977;1.064134;-13.31056;354.7117;357.2037;355.0911
2;6;1773010225893;0.2656778;1.064009;-13.31047;354.7504;357.1897;355.1002
2;6;1773010225948;0.2658401;1.064054;-13.31036;354.7338;357.2762;355.0832
2;6;1773010226002;0.2659959;1.063977;-13.31026;354.7206;357.3304;355.0847
2;6;1773010226058;0.2658298;1.064025;-13.31022;354.7472;357.3329;355.0978
2;6;1773010226114;0.265666;1.063993;-13.31012;354.7713;357.3307;355.0676
2;6;1773010226170;0.2657601;1.063843;-13.31002;354.8148;357.3382;355.0657
2;6;1773010226225;0.2657802;1.063796;-13.31003;354.8268;357.3766;355.0439
2;6;1773010226281;0.2657819;1.063755;-13.31015;354.8491;357.4255;355.0124
2;6;1773010226337;0.2659328;1.063604;-13.31024;354.8509;357.4636;355.0021
2;6;1773010226391;0.2658708;1.063729;-13.31037;354.8418;357.486;354.993
2;6;1773010226448;0.2658985;1.063807;-13.31051;354.8209;357.4969;354.9839
2;6;1773010226502;0.2658992;1.063843;-13.31055;354.8161;357.5077;354.9833
2;6;1773010226559;0.2659026;1.063818;-13.31063;354.8123;357.5342;354.9384
2;6;1773010226614;0.2659327;1.063874;-13.31064;354.74;357.5504;354.9847
2;6;1773010226669;0.2659049;1.063879;-13.31074;354.7947;357.6095;354.9344
2;6;1773010226726;0.2657866;1.06397;-13.3107;354.7798;357.5889;354.9759
2;6;1773010226853;0.2659718;1.064016;-13.31064;354.7578;357.554;354.9481
2;6;1773010226905;0.2660499;1.064035;-13.31063;354.7432;357.6121;354.9615
